-0.050   0.025  -0.048   0.006   0.036  -0.025   0.014  -0.016   0.012  -0.022   0.069  -0.008  -0.039   0.001  -0.019  -0.021  -0.124  -0.001  -0.036  -0.012  -0.009  -0.001  -0.184  -0.073   0.010  -0.020  -0.015  -0.019   0.027   0.004  -0.003  -0.005   0.029  -0.020   0.013  -0.001  -0.021   0.051   0.001   0.004  -0.003   0.002  -0.025   0.021  -0.018   0.031  -0.007  -0.005   0.147   0.003   0.012  -0.018   0.005   0.005   0.029  -0.073   0.013  -0.021   0.009   0.002  -0.071   0.059  -0.055   0.018 
 0.010  -0.019   0.029  -0.004   0.034  -0.014  -0.009   0.011  -0.013   0.000  -0.053   0.032   0.006  -0.000   0.011   0.008  -0.127   0.001   0.018  -0.006   0.005   0.007  -0.025   0.052  -0.022   0.011   0.018  -0.009  -0.033  -0.009   0.004  -0.025  -0.008   0.012  -0.011  -0.005  -0.001  -0.042   0.013   0.002  -0.005   0.006   0.093  -0.007   0.005  -0.006  -0.002   0.009   0.026   0.004  -0.016   0.034  -0.011  -0.012  -0.205   0.118   0.010  -0.004   0.007  -0.008   0.060  -0.044   0.031  -0.006 
 0.131  -0.080   0.007   0.014  -0.116   0.029   0.004  -0.009  -0.004  -0.010  -0.214   0.005  -0.003  -0.002  -0.005   0.015  -0.015   0.013  -0.008   0.007  -0.004  -0.020   0.073  -0.014   0.006  -0.003  -0.009   0.003  -0.003   0.004  -0.011   0.003  -0.056   0.011   0.058  -0.052   0.137   0.028  -0.024   0.001   0.015  -0.006  -0.177   0.021   0.010  -0.009  -0.003   0.001  -0.040   0.004   0.003  -0.014   0.004   0.001   0.043  -0.027  -0.014   0.011  -0.012   0.010  -0.011   0.013  -0.019   0.010 
-0.157   0.118  -0.071  -0.014  -0.083  -0.105   0.014  -0.011   0.009  -0.007  -0.005   0.002  -0.042  -0.001  -0.019  -0.040   0.033   0.005  -0.026  -0.022  -0.007   0.027  -0.023  -0.044   0.006  -0.012  -0.001  -0.025  -0.006  -0.004   0.010  -0.022   0.168  -0.056  -0.048   0.078  -0.138   0.010   0.054   0.004  -0.040   0.004  -0.084   0.035  -0.038   0.017   0.003  -0.004  -0.007   0.004  -0.004  -0.007   0.001   0.004   0.024  -0.022   0.030  -0.048   0.027  -0.012  -0.033   0.028  -0.019   0.005 
-0.181  -0.024   0.003   0.009   0.045  -0.008   0.010  -0.009   0.011  -0.021   0.070  -0.004   0.009  -0.009   0.000   0.018  -0.005   0.007   0.014   0.001  -0.004  -0.011  -0.010   0.016  -0.015   0.001   0.002  -0.007  -0.010   0.002  -0.005  -0.009  -0.170   0.073   0.025  -0.072  -0.117   0.021  -0.055  -0.018   0.033   0.005   0.041  -0.025  -0.005   0.006  -0.022   0.001  -0.010   0.001   0.006  -0.014   0.012  -0.001  -0.065   0.042  -0.006  -0.000  -0.012   0.010   0.026  -0.010  -0.014   0.005 
 0.182  -0.285   0.058   0.019   0.036   0.056  -0.008  -0.007  -0.057   0.026  -0.039   0.017   0.008   0.008   0.005  -0.007  -0.012   0.001   0.002   0.001  -0.001  -0.015   0.031   0.012   0.020   0.004  -0.005  -0.003   0.008   0.017   0.004  -0.000  -0.231  -0.095   0.083   0.006   0.073  -0.093  -0.022   0.022  -0.036  -0.009  -0.016  -0.006  -0.009  -0.028   0.025  -0.006   0.013   0.008   0.004  -0.021  -0.009  -0.012   0.065  -0.026  -0.025   0.007  -0.007  -0.009  -0.014   0.017  -0.009   0.011 
-0.005   0.218  -0.226  -0.042  -0.033  -0.099  -0.006  -0.023   0.038  -0.024   0.017   0.056  -0.047   0.010  -0.033  -0.075   0.011   0.030  -0.032  -0.030  -0.022   0.049  -0.029  -0.052  -0.022  -0.013   0.009  -0.040  -0.028  -0.012   0.016  -0.046   0.205  -0.248  -0.196   0.206  -0.070   0.037   0.066  -0.008  -0.068   0.016   0.021  -0.003  -0.084   0.007   0.001  -0.012  -0.019   0.027   0.007  -0.024  -0.010   0.013  -0.052   0.021   0.058  -0.069   0.037  -0.025  -0.012   0.011  -0.022  -0.009 
-0.025  -0.063   0.127  -0.110   0.033   0.005   0.069  -0.017   0.021  -0.031  -0.012   0.029   0.005   0.008   0.001   0.035  -0.011  -0.001   0.003  -0.000   0.009  -0.006   0.014  -0.010   0.001  -0.000   0.019  -0.027   0.001   0.020  -0.008  -0.021  -0.034   0.078  -0.003  -0.482   0.040  -0.026  -0.015   0.004   0.083   0.091   0.005   0.009   0.014   0.005  -0.025  -0.098  -0.011   0.006  -0.006   0.007   0.015   0.006   0.017  -0.002  -0.004  -0.015  -0.012   0.006  -0.014   0.026  -0.040   0.012 
 0.007  -0.002   0.038   0.270  -0.006  -0.011  -0.011   0.047  -0.021  -0.045  -0.003   0.001  -0.013  -0.004  -0.010  -0.052  -0.004   0.007  -0.001  -0.017  -0.016   0.021  -0.001   0.001   0.001   0.000  -0.018  -0.017  -0.005  -0.008   0.011  -0.009   0.009   0.009  -0.022   0.141  -0.012   0.014  -0.007   0.001  -0.169  -0.152   0.006  -0.000  -0.008  -0.014  -0.020   0.213   0.002   0.010   0.007  -0.029  -0.007  -0.052   0.002   0.000  -0.002  -0.002   0.022  -0.006  -0.001   0.010  -0.008   0.009 
 0.008   0.008   0.018  -0.042   0.007  -0.029   0.053  -0.040   0.112   0.139   0.010   0.012  -0.017   0.011   0.033   0.017   0.009   0.020  -0.008   0.014   0.022  -0.012  -0.004  -0.011   0.002  -0.000   0.029   0.018   0.001   0.012   0.002   0.003   0.010  -0.052   0.063   0.027  -0.006  -0.030   0.038   0.016  -0.022   0.068   0.001  -0.007  -0.028   0.019   0.066  -0.340  -0.001   0.009   0.001   0.004   0.007   0.053  -0.007  -0.002   0.024  -0.040  -0.012  -0.024  -0.000  -0.006  -0.003  -0.014 
